Municipality,State,Population 1980 Census,Population 1994 Census,Population 2000 Census,Population 2010 Census,Area
Colonia (Weloy & Rull),YAP,2864,3161,3216,3126,2551
Dublon (Tonoas/Etten),CHU,3223,3949,3910,3517,917
Ettal (Etal),CHU,446,356,267,672,71
Fananu,CHU,235,320,355,580,80
Fanapanges (Fala-Beguets),CHU,401,606,681,672,166
Fanif,YAP,...,462,547,509,1395
Fefen,CHU,3076,4042,4062,3471,1211
Gagil,YAP,...,716,734,863,1321
Houk (Pulusuk),CHU,205,494,451,1116,284
Ifalik,YAP,...,653,561,578,131
Kitti,POH,3401,5178,6007,6470,11845
Kolonia,POH,5549,6660,5681,6074,184
Lekinoch (Lukunor),CHU,666,802,927,848,127
Lelu (Tofol),KOS,1993,2404,2591,2160,2081
Maap,YAP,...,547,592,621,1038
Madolenihmw,POH,3376,4951,5420,5767,10310
Malem,KOS,...,1430,1571,1300,1608
Moch,CHU,632,837,854,932,32
Nema (Nama),CHU,1021,881,995,676,90
Nett,POH,2226,5977,6158,6639,5785
Nomwin,CHU,322,746,711,763,31
Onoun (Ulul),CHU,434,436,598,633,225
Paata,CHU,...,1825,1950,1107,440
Palikir (Sokehs),POH,3632,5773,6444,6647,5524
Pollap (Pulap),CHU,427,710,905,1168,70
Polle,CHU,...,1320,1851,1498,910
Polowat (Poluwat),CHU,441,688,1015,745,132
Romanum,CHU,462,711,1011,865,84
Satawal,YAP,...,560,531,501,122
Satowan (Satawan),CHU,767,823,955,692,120
Tafunsak,KOS,1494,2427,2457,2173,4033
Tamatam,CHU,188,279,365,493,29
Tol,CHU,...,4816,5129,4579,1645
Tomil,YAP,...,897,1023,1231,1603
U (Uh),POH,1851,3001,2685,3192,2152
Udot,CHU,1082,1598,1774,1680,456
Ulithi,YAP,...,1016,773,847,185
Uman,CHU,2298,3056,2847,2254,463
Utwe,KOS,...,1056,1067,983,3168
Weno (Moen),CHU,10373,16121,13802,13856,1858
Woleai,YAP,...,844,1197,1039,326
Wonei,CHU,...,1434,1271,638,392
