Direction,Latin name,Angle
Wenewenenfuhmwakut, Polaris (North Star),0
Tan Maillapen Efang, Rising Beta Ursa Major,11.25
Tan Welo, Rising Alpha Ursa Major,22.5
Tan Ukunik, Rising Alpha Cassiopeia,33.75
Tan Mol, Rising Vega,45
Tan Mwarikar, Rising Pleiades,56.25
Tan Un, Rising Aldebaran,67.5
Tan Paiefang, Rising Gamma Aquila,78.75
Tan Mailap, Rising Altair,90
Tan Paior, Rising Beta Aquila,101.25
Tan Oluol, Rising Orion's Belt,112.5
Tan Harepwol, Rising Gamma Corvus,123.75
Tan Tumur, Rising Antares,135
Tan Maharuw, Rising Shaula,146.25
Tan Up, Rising Crux,157.5
Tan Machemeas, Crux at Rising of Alpha Centaurus,168.75
Wenewenen Up, Crux at Meridian,180
Tolon Machemeas, Crux past Meridian,-168.75
Tolon Up, Setting Crux,-157.5
Tolon Maharuw, Setting Shaula,-146.25
Tolon Tumur, Setting Antares,-135
Tolon Harepwol, Setting Gamma Corvus,-123.75
Tolon Oluol, Setting Orion's Belt,-112.5
Tolon Paior, Setting Beta Aquila,-101.25
Tolon Mailap, Setting Altair,-90
Tolon Paiefang, Setting Gamma Aquila,-78.75
Tolon Un, Setting Aldebaran,-67.5
Tolon Mwarikar, Setting Pleiades,-56.25
Tolon Mol, Setting Vega,-45
Tolon Ukunik, Setting Alpha Cassiopeia,-33.75
Tolon Welo, Setting Alpha Ursa Major,-22.5
Tolon Maillapen Efang, Setting Beta Ursa Major,-11.25
